Text,Translation,Tag
"peace, Irene (name)",ειρήνη,Abstract concept
"safety, insurance, security",ασφάλεια,Abstract concept
"opinion, notion",γνώμη,Abstract concept
"calm, peace and quiet, peace",ηρεμία,Abstract concept
war,πόλεμος,Abstract concept
"silence, quiet, hush",ησυχία,Abstract concept
quality,ποιότητα,Abstract concept
justice,δικαιοσύνη,Abstract concept
noise,θόρυβος,Abstract concept
"blame, responsibility, obligation",ευθύνη,Abstract concept
"action, act",δράση,Abstract concept
space,διάστημα,Abstract concept
"humor, spirit, Spirit",πνεύμα,Abstract concept
"thought, consideration, reflecting",σκέψη,Abstract concept
"impact, effect",επίπτωση,Abstract concept
"gratification, pleasure",ευχαρίστηση,Abstract concept
surprise,έκπληξη,Abstract concept
fear,φόβος,Abstract concept
"memory, remembrance, any memory",μνήμη,Abstract concept
"a possibility, a probability, chance",πιθανότητα,Abstract concept
"shadow, shade",σκιά,Abstract concept
"strength, force, power",δύναμη,Abstract concept
"lust, desire, craving",πόθος,Abstract concept
"doubt, doubts",αμφιβολία,Abstract concept
"signature, subscription, a signature",υπογραφή,Abstract concept
"position, spot, seat",θέση,Abstract concept
secret,μυστικό,Abstract concept
exit,έξοδος,Abstract concept
humour,χιούμορ,Abstract concept
origin,προέλευση,Abstract concept
"code, cue, catchword",σύνθημα,Abstract concept
"attitude, conduct, behavior / behaviour",συμπεριφορά,Abstract concept
"purpose, aim, guard",σκοπός,Abstract concept
reality,πραγματικότητα,Abstract concept
"interest, interesting, interested",ενδιαφέρον,Abstract concept
"damage, injury, harm",ζημιά,Abstract concept
"respect, respecting",σεβασμός,Abstract concept
"profit, to be gained, advantage",όφελος,Abstract concept
"try, attempt, effort",προσπάθεια,Abstract concept
"condition, case, situation",κατάσταση,Abstract concept
luxury,πολυτελής,Abstract concept
"way, a way",τρόπος,Abstract concept
subject,υποκείμενο,Abstract concept
"end, edge, side",άκρη,Abstract concept
"darkness, dark",σκοτάδι,Abstract concept
change,αλλαγή,Abstract concept
"receipt, proof, evidence",απόδειξη,Abstract concept
"rest, relaxation",ξεκούραση,Abstract concept
"attention, pay attention to",προσοχή,Abstract concept
"courtesy, politeness, civility",ευγένεια,Abstract concept
"adornment, decoration, grooming",καλλωπισμός,Abstract concept
"chance, occasion, opportunity",ευκαιρία,Abstract concept
union,ένωση,Abstract concept
ignorance,άγνοια,Abstract concept
"construction, structure, building",κατασκευή,Abstract concept
(a) haircut,κούρεμα,Abstract concept
"price, charge, fee",χρέωση,Abstract concept
"entry, entrance, gateway",είσοδος,Abstract concept
"delivery, distribution, sharing",διανομή,Abstract concept
"success, gateway to success",επιτυχία,Abstract concept
"introduction, admission",εισαγωγή,Abstract concept
"member, player, a member",μέλος,Abstract concept
"solution, solution to",λύση,Abstract concept
"award, prize, reward",βραβείο,Abstract concept
"characteristic, feature",χαρακτηριστικό,Abstract concept
talent,ταλέντο,Abstract concept
"appetite, mood",όρεξη,Abstract concept
hope,ελπίδα,Abstract concept
right,δίκιο,Abstract concept
"side, across",πλευρά,Abstract concept
"imagination, fiction",φαντασία,Abstract concept
"choice, option, pick",επιλογή,Abstract concept
"a mistake, wrong, mistake",λάθος,Abstract concept
"problem, issue, worries",πρόβλημα,Abstract concept
"output, production, productions",παραγωγή,Abstract concept
"protection, protecting",προστασία,Abstract concept
"new, news, young",νέα,Abstract concept
"concept, concern, meaning",έννοια,Abstract concept
"instance, case, occasion",περίπτωση,Abstract concept
"category, accusation, form",κατηγορία,Abstract concept
"outcome, effect, result",αποτέλεσμα,Abstract concept
"activity, business, occupation",δραστηριότητα,Abstract concept
wish,ευχή,Abstract concept
"duty, responsibility, chore",καθήκον,Abstract concept
view,θέα,Abstract concept
description,περιγραφή,Abstract concept
"being, existence, entity",ύπαρξη,Abstract concept
list,λίστα,Abstract concept
failure,αποτυχία,Abstract concept
"system, a system",σύστημα,Abstract concept
exotic,εξωτικός,Adjectives
"great, exceptional, magnificent",σπουδαίος,Adjectives
complex,περίπλοκος,Adjectives
romantic,ρομαντικός,Adjectives
helpful,εξυπηρετικός,Adjectives
"accustomed, used",συνηθισμένος,Adjectives
easygoing,χαλαρός,Adjectives
top,κορυφαίος,Adjectives
"suspicious, suspect",ύποπτος,Adjectives
"exciting, fascinating",συναρπαστικός,Adjectives
"impressive, spectacular",εντυπωσιακός,Adjectives
"attractive, appealing",ελκυστικός,Adjectives
"short, brief",σύντομος,Adjectives
"cunning, sly",πονηρός,Adjectives
rare,σπάνιος,Adjectives
"striker, forward, aggressive",επιθετικός,Adjectives
"unfair, unjust",άδικος,Adjectives
"right, convenient, suitable",κατάλληλος,Adjectives
fun,διασκεδαστικός,Adjectives
incredible,απίστευτος,Adjectives
fair,δίκαιος,Adjectives
"too, exorbitant",υπερβολικός,Adjectives
compulsory,υποχρεωτικός,Adjectives
"impatient, worked up, anxious",ανυπόμονος,Adjectives
"narrow, tight",στενός,Adjectives
"strong, stronger",ισχυρός,Adjectives
patient,υπομονετικός,Adjectives
"amazing, wonderful",καταπληκτικός,Adjectives
modern,μοντέρνος,Adjectives
strict,αυστηρός,Adjectives
"daily, casual",καθημερινός,Adjectives
bitter,πικρός,Adjectives
imaginary,φανταστικός,Adjectives
"scary, spooky",τρομακτικός,Adjectives
"shy, embarassed",ντροπαλός,Adjectives
salty,αλμυρός,Adjectives
"weird, strange, curious",περίεργος,Adjectives
healthier,υγιεινός,Adjectives
"healthy, hale",υγιής,Adjectives
harsh,σκληρός,Adjectives
"Low, low",χαμηλός,Adjectives
active,δραστήριος,Adjectives
new,καινούριος,Adjectives
comfortable,άνετος,Adjectives
safe,ασφαλής,Adjectives
lucky,τυχερός,Adjectives
sensitive,ευαίσθητος,Adjectives
"sophisticated, elegant, stylish",κομψός,Adjectives
"boring, dull",βαρετός,Adjectives
"miserable, despicable",άθλιος,Adjectives
"free, available, unavailable",διαθέσιμος,Adjectives
familiar,οικείος,Adjectives
honest,ειλικρινής,Adjectives
private,ιδιωτικός,Adjectives
"effective, constructive, productive",αποδοτικός,Adjectives
"modern, contemporary, a modern",σύγχρονος,Adjectives
useful,χρήσιμος,Adjectives
"full, packed",γεμάτος,Adjectives
"able, capable",ικανός,Adjectives
free,ελεύθερος,Adjectives
"real, true",αληθινός,Adjectives
future,μελλοντικός,Adjectives
"rich, wealthy",πλούσιος,Adjectives
incapable,ανίκανος,Adjectives
"accurate, precise, exact",ακριβής,Adjectives
cultural,πολιτιστικός,Adjectives
useless,άχρηστος,Adjectives
fake,ψεύτικος,Adjectives
"constant, continuous",συνεχής,Adjectives
popular,δημοφιλής,Adjectives
poor,φτωχός,Adjectives
simple,απλός,Adjectives
traditional,παραδοσιακός,Adjectives
"opposite, against, contrary",αντίθετος,Adjectives
"convenient, comfortable",βολικός,Adjectives
"old, last",παλιός,Adjectives
"cold, nipping",κρύος,Adjectives
ready,έτοιμος,Adjectives
"cheap, inexpensive",φτηνός,Adjectives
historical,ιστορικός,Adjectives
"mistaken, wrong",λανθασμένος,Adjectives
bright,φωτεινός,Adjectives
"strange, foreigner, alien",ξένος,Adjectives
dark,σκοτεινός,Adjectives
"correct, true",σωστός,Adjectives
"hazardous, risky, unsafe",επικίνδυνος,Adjectives
slow,αργός,Adjectives
"expensive, pricey, costly",ακριβός,Adjectives
fast,γρήγορος,Adjectives
"alive, living",ζωντανός,Adjectives
wooden,ξύλινος,Adjectives
"famous, well known",διάσημος,Adjectives
"excellent, perfect, great",τέλειος,Adjectives
"brilliant, excellent, great",εξαιρετικός,Adjectives
military,στρατιωτικός,Adjectives
"normal, natural",φυσιολογικός,Adjectives
"necessary, essential to, necessary for",απαραίτητος,Adjectives
"whole, entire, total",ολόκληρος,Adjectives
"final, last",τελικός,Adjectives
"important, significant",σημαντικός,Adjectives
"hot, warm",ζεστός,Adjectives
legal,νόμιμος,Adjectives
"beautiful, nice, great",ωραίος,Adjectives
"closed, turned off, switched off",κλειστός,Adjectives
"official, formal",επίσημος,Adjectives
"difficult, tricky, hard",δύσκολος,Adjectives
potential,πιθανός,Adjectives
"main, basic",βασικός,Adjectives
"left, leftist",αριστερός,Adjectives
"personal, private",προσωπικός,Adjectives
easy,εύκολος,Adjectives
"recent, latest",πρόσφατος,Adjectives
"different, unlike",διαφορετικός,Adjectives
bilingual,δίγλωσσος,Adjectives
"plain, ordinary, black (coffee)",σκέτος,Adjectives
"exquisite, wonderful, great",υπέροχος,Adjectives
"tired, weary",κουρασμένος,Adjectives
special,ιδιαίτερος,Adjectives
next,επόμενος,Adjectives
"a real, real, true",πραγματικός,Adjectives
"local, regional",τοπικός,Adjectives
general,γενικός,Adjectives
"clean, clear, pure",καθαρός,Adjectives
dirty,βρώμικος,Adjectives
"strong, powerful",δυνατός,Adjectives
"alright, ok",εντάξει,Adjectives
"completely, totally",εντελώς,Adverbs
"agreeably, pleasantly, gladly",ευχάριστα,Adverbs
"right away, this instant, directly",άμεσα,Adverbs
"special, especially, specifically",ιδιαίτερα,Adverbs
"right away, immediately, instantly",αμέσως,Adverbs
"too much, too",υπερβολικά,Adverbs
"with pleasure, gladly",ευχαρίστως,Adverbs
"after all, finally, utlimately",τελικά,Adverbs
"wrongly, wrong, mistakenly",λανθασμένα,Adverbs
"personal, personally",προσωπικά,Adverbs
"genuinely, sincerely, honestly",ειλικρινά,Adverbs
creatively,δημιουργικά,Adverbs
"of course, naturally, natural",φυσικά,Adverbs
"bad, ugly, badly",άσχημα,Adverbs
"clearly, clean, distinctly",καθαρά,Adverbs
"strong, powerful, loud",δυνατά,Adverbs
"right, correct, correctly",σωστά,Adverbs
"highly, tall, high",ψηλά,Adverbs
"a lot, a great deal, quite",αρκετά,Adverbs
"low, down low",χαμηλά,Adverbs
"just, only, simply",απλώς,Adverbs
quickly,γρήγορα,Adverbs
"first, firstly",πρώτα,Adverbs
especially,ειδικά,Adverbs
"probably, possibly, potentially",πιθανώς,Adverbs
normally,φυσιολογικά,Adverbs
"perfectly, perfect, great",τέλεια,Adverbs
"slowly, big deal",σιγά,Adverbs
usually,συνήθως,Adverbs
"really, real",πραγματικά,Adverbs
"as soon as, just",μόλις,Adverbs
"at all, not at all, no... at all",καθόλου,Adverbs
"so, that, such",τόσο,Adverbs
"now, already, anymore",πια,Adverbs
definitely,οπωσδήποτε,Adverbs
"free, free (of charge), for free",δωρεάν,Adverbs
"around, approximate, approximately",περίπου,Adverbs
almost,σχεδόν,Adverbs
"neither ... nor, even, or",ούτε,Adverbs
"completely, totally, entirely",τελείως,Adverbs
"wherever, anywhere, where",οπουδήποτε,Adverbs
"finally, at last",επιτέλους,Adverbs
obviously,προφανώς,Adverbs
"right, exactly, precisely",ακριβώς,Adverbs
at least,τουλάχιστον,Adverbs
"together, with",μαζί,Adverbs
already,ήδη,Adverbs
always,πάντα,Adverbs
"additionally, furthermore, moreover",επιπλέον,Adverbs
"yet, even, still",ακόμα,Adverbs
"that, that way, like that",έτσι,Adverbs
"donkey, a donkey",γάιδαρος,Animals
"hawk, falcon",γεράκι,Animals
octopus,χταπόδι,Animals
shark,καρχαρίας,Animals
monkey,μαϊμού,Animals
snail,σαλιγκάρι,Animals
lizard,σαύρα,Animals
seagull,γλάρος,Animals
"frog, toad",βάτραχος,Animals
bee,μέλισσα,Animals
pig,γουρούνι,Animals
"shepherd, a shepherd",βοσκός,Animals
whale,φάλαινα,Animals
"alligator, an alligator",αλιγάτορας,Animals
goat,κατσίκα,Animals
cow,αγελάδα,Animals
"crocodile, a crocodile",κροκόδειλος,Animals
"sheep, lamb",πρόβατο,Animals
"hippopotamus, hippo",ιπποπόταμος,Animals
"rhino, rhinoceros",ρινόκερος,Animals
rabbit,κουνέλι,Animals
dogs,σκύλους,Animals
ape,πίθηκο,Animals
"dog, a dog",σκύλο,Animals
animals,ζώα,Animals
birds,πουλιά,Animals
"turtles, tortoises, are the turtles",χελώνες,Animals
"ducks, duck",πάπιες,Animals
"horses, horse meat",άλογα,Animals
cats,γάτες,Animals
dogs,σκύλοι,Animals
elephants,ελέφαντες,Animals
zebra,ζέβρα,Animals
tiger,τίγρης,Animals
"reptile, a reptile, crawler",ερπετό,Animals
wolf,λύκος,Animals
fox,αλεπού,Animals
"hare, jack rabbit",λαγός,Animals
"snake, serpent, a snake",φίδι,Animals
lion,λιοντάρι,Animals
"mammal, a mammal",θηλαστικό,Animals
"hamster, hamsters",χάμστερ,Animals
"chicken, hen",κότα,Animals
"insect, bug, an insect",έντομο,Animals
butterfly,πεταλούδα,Animals
giraffe,καμηλοπάρδαλη,Animals
eagle,αετός,Animals
camel,καμήλα,Animals
"ape, monkey",πίθηκος,Animals
"spider, a spider",αράχνη,Animals
"mouse, a mouse",ποντίκι,Animals
pelican,πελεκάνος,Animals
crab,καβούρι,Animals
"pet, a pet",κατοικίδιο,Animals
"animal, an animal",ζώο,Animals
bear,αρκούδα,Animals
"puppy, pup",κουτάβι,Animals
"dog, a dog",σκύλος,Animals
elephant,ελέφαντας,Animals
"turtle, tortoise, a turtle",χελώνα,Animals
"horse, a horse",άλογο,Animals
"bird, a bird",πουλί,Animals
"duck, (a) duck",πάπια,Animals
"cat, a cat",γάτα,Animals
"scene, tent, stage",σκηνή,Art and Culture
Tragedy,τραγωδία,Art and Culture
talented,ταλαντούχος,Art and Culture
literature,λογοτεχνία,Art and Culture
"comedy, a comedy",κωμωδία,Art and Culture
untalented,ατάλαντος,Art and Culture
protagonist,πρωταγωνιστής,Art and Culture
"image, figure, picture",εικόνα,Art and Culture
canvas,καμβάς,Art and Culture
"brush, paintbrush",πινέλο,Art and Culture
"poet, a poet",ποιητής,Art and Culture
design,ζωγραφίζω,Art and Culture
poetry,ποίηση,Art and Culture
painter,ζωγράφος,Art and Culture
"collection, compilation",συλλογή,Art and Culture
sculptor,γλύπτης,Art and Culture
statue,άγαλμα,Art and Culture
"panel, board, painting",πίνακας,Art and Culture
sculpture,γλυπτική,Art and Culture
"writing, exposition, account",έκθεση,Art and Culture
painting,ζωγραφική,Art and Culture
"sheet music, (musical) score",παρτιτούρα,Art and Culture
"I watch, watching, watch",παρακολουθώ,Art and Culture
"movie, a movie, film",ταινία,Art and Culture
"picture, photo, photography",φωτογραφία,Art and Culture
photographer,φωτογράφος,Art and Culture
director,σκηνοθέτης,Art and Culture
"work, play, project",έργο,Art and Culture
"performance, show, performed",παράσταση,Art and Culture
"dance, prom",χορός,Art and Culture
acting,υποκριτική,Art and Culture
choreography,χορογραφία,Art and Culture
"guitar, the guitar, a guitar",κιθάρα,Art and Culture
"lyre, the lyre",λύρα,Art and Culture
"rehearsal, fitting, rehearsing",πρόβα,Art and Culture
"concert, a concert",συναυλία,Art and Culture
orchestra,ορχήστρα,Art and Culture
"instrument, organ, tool",όργανο,Art and Culture
"opera, operas",όπερα,Art and Culture
"piano, the piano",πιάνο,Art and Culture
"singer, a singer",τραγουδιστής,Art and Culture
sound,ήχος,Art and Culture
"song, singing",τραγούδι,Art and Culture
"musician, musical",μουσικός,Art and Culture
"vox, voice",φωνή,Art and Culture
"note, η νότα, Η ΝΟΤΑ",νότα,Art and Culture
"violin, the violin, a violin",βιολί,Art and Culture
"art, an art",τέχνη,Art and Culture
"culture, civilization",πολιτισμός,Art and Culture
"music, musical",μουσική,Art and Culture
"flute, the flute",φλάουτο,Art and Culture
Muse,μούσα,Art and Culture
nose,μύτη,Body
"wool, hair",μαλλί,Body
"weak, powerless",αδύναμος,Body
mouth,στόμα,Body
"arm, hand",χέρι,Body
tall,ψηλός,Body
"brunet, brunette, dark-haired",μελαχρινός,Body
short,κοντός,Body
"foot, leg",πόδι,Body
"ugly, nasty, terrible",άσχημος,Body
lip,χείλος,Body
ear,αυτί,Body
"beautiful, handsome, pretty",όμορφος,Body
"face, person",πρόσωπο,Body
"great, old, big",μεγάλος,Body
thin,αδύνατος,Body
fat,χοντρός,Body
"new, young, modern",νέος,Body
"little, small, young",μικρός,Body
eye,μάτι,Body
"a meeting, meeting, conference",συνάντηση,Business
minimum,κατώτατος,Business
demand,ζήτηση,Business
"salary, wage",μισθός,Business
"pension, syntax",σύνταξη,Business
"trade, commerce",εμπόριο,Business
contract,συμβόλαιο,Business
"firm, corporation, company",εταιρεία,Business
"sale, selling",πώληση,Business
revenue,έσοδα,Business
"administration, management",διοίκηση,Business
coworker,συνάδελφος,Business
"income, an income",εισόδημα,Business
"proposal, offering, offer",προσφορά,Business
"effectiveness, efficiency",αποτελεσματικότητα,Business
"warranty, a warrenty",εγγύηση,Business
consumer,καταναλωτής,Business
"business, company, enterprise",επιχείρηση,Business
"customer, client",πελάτης,Business
competition,ανταγωνισμός,Business
"agreement, deal",συμφωνία,Business
"promotion, propulsion",προώθηση,Business
productivity,παραγωγικότητα,Business
industry,βιομηχανία,Business
product,προϊόν,Business
"entrepreneur, a businessman, businessman",επιχειρηματίας,Business
"advertisement, commercial, ad",διαφήμιση,Business
employer,εργοδότης,Business
"brand, label, make",μάρκα,Business
"deadline, due",προθεσμία,Business
employee,υπάλληλος,Business
factory,εργοστάσιο,Business
"t-shirt, a t-shirt",κοντομάνικο,Clothes
"wallet, purse",πορτοφόλι,Clothes
pocket,τσέπη,Clothes
"tie, necktie",γραβάτα,Clothes
"woollen, woolen, woollen one",μάλλινος,Clothes
"boot, buskin",μπότα,Clothes
underwear,εσώρουχο,Clothes
"zone, a belt, seatbelt",ζώνη,Clothes
glove,γάντι,Clothes
"uniform, costume, a uniform",στολή,Clothes
"jewellery, jewel, piece of jewellery",κόσμημα,Clothes
scarf,κασκόλ,Clothes
"hat, cap, a hat",καπέλο,Clothes
"suit, a suit, costume",κουστούμι,Clothes
sock,κάλτσα,Clothes
"blouse, a blouse, shirt (no buttons)",μπλούζα,Clothes
"a piece of clothing, garment, piece of clothes",ρούχο,Clothes
"wears, does she wear, is wearing",φοράει,Clothes
wear,φοράω,Clothes
"shirt, shirt (with buttons), a shirt",πουκάμισο,Clothes
"a coat, coat, overcoat",παλτό,Clothes
"pants, pair of pants, trousers",παντελόνι,Clothes
"skirt, a skirt",φούστα,Clothes
shoes,παπούτσια,Clothes
"dress, gown",φόρεμα,Clothes
ties,γραβάτες,Clothes
"sweet (adj. neut. plural), sweets, sweetest",γλυκά,Clothes
gloves,γάντια,Clothes
chocolates,σοκολάτες,Clothes
shirts (n)(nom/acc),πουκάμισα,Clothes
skirts,φούστες,Clothes
"hats, caps",καπέλα,Clothes
red,κόκκινος,Colors
"open, light",ανοιχτός,Colors
black and white (masc.),ασπρόμαυρος,Colors
"red, ruby, scarlet",κόκκινη,Colors
multicolored,πολύχρωμος,Colors
yellow,κίτρινη,Colors
"white, white one",άσπρος,Colors
light blue,γαλάζιος,Colors
"azure, light blue",γαλάζια,Colors
yellow,κίτρινος,Colors
brown,καφετής,Colors
orange,πορτοκαλής,Colors
white,άσπρο,Colors
yellow,κίτρινο,Colors
grey,γκρι,Colors
red,κόκκινο,Colors
white,λευκό,Colors
black,μαύρη,Colors
green,πράσινος,Colors
green,πράσινη,Colors
purple,μοβ,Colors
blue,μπλε,Colors
"light blue, azure, a light blue dress",γαλάζιο,Colors
green,πράσινο,Colors
orange,πορτοκαλί,Colors
"brown, coffee",καφέ,Colors
black,μαύρο,Colors
"colour, color, paint",χρώμα,Colors
title,τίτλος,Communication
interpreter,διερμηνέας,Communication
"translation, translating",μετάφραση,Communication
transmission,μετάδοση,Communication
conversation,συνομιλία,Communication
meeting,σύσκεψη,Communication
"a discussion, discourse, conversation",συζήτηση,Communication
"dialogue, dialog, discussion",διάλογος,Communication
calling,τηλεφωνώ,Communication
phrase,φράση,Communication
"by post, by mail",ταχυδρομικώς,Communication
"stamp, postage, postage stamp",γραμματόσημο,Communication
"interview, an interview",συνέντευξη,Communication
card,κάρτα,Communication
letter,επιστολή,Communication
"view, screening",προβολή,Communication
"journalist, reporter, newscaster]",δημοσιογράφος,Communication
"tongue, language",γλώσσα,Communication
"mail, post, correspondence",αλληλογραφία,Communication
"web, Internet, net",διαδίκτυο,Communication
"mail carrier, mailman",ταχυδρόμος,Communication
post office,ταχυδρομείο,Communication
"SMS, a message, message",μήνυμα,Communication
"contact, communication, communicating",επικοινωνία,Communication
"text, passage, piece",κείμενο,Communication
"channel, (TV/Radio) station",κανάλι,Communication
"information, some information",πληροφορία,Communication
"remark, comment",σχόλιο,Communication
"quest, pursuit, search",αναζήτηση,Communication
network,δίκτυο,Communication
"earlier, prior, once",πρωτύτερα,Comparisons
"sooner, earlier",νωρίτερα,Comparisons
"very quickly, very fast, in a flash",γρηγορότατα,Comparisons
"very nice, very pretty, very beautiful",ωραιότατα,Comparisons
"honors, excellently, excellent",άριστα,Comparisons
later,αργότερα,Comparisons
"more beautifully, the nicest, better",ωραιότερα,Comparisons
farther,μακρύτερα,Comparisons
"nearer, closer",κοντύτερα,Comparisons
"faster, more quickly",γρηγορότερα,Comparisons
"better, best",καλύτερα,Comparisons
very ugly,ασχημότατος,Comparisons
very expensive,ακριβότατος,Comparisons
"very nice, very beautiful, very handsome",ωραιότατος,Comparisons
very popular,δημοφιλέστατος,Comparisons
"very young, very new",νεότατος,Comparisons
supreme,ανώτατος,Comparisons
"minimum, smallest, minimal",ελάχιστος,Comparisons
"biggest, maximum, largest",μέγιστος,Comparisons
"inferior, lower",κατώτερος,Comparisons
superior,ανώτερος,Comparisons
preferable,προτιμότερος,Comparisons
closest,πλησιέστερος,Comparisons
"older, oldest, bigger",μεγαλύτερος,Comparisons
"more ancient, older",αρχαιότερος,Comparisons
uglier,ασχημότερος,Comparisons
more popular,δημοφιλέστερος,Comparisons
the deepest,βαθύτερος,Comparisons
lighter,ελαφρύτερος,Comparisons
more,περισσότερος,Comparisons
"younger, the youngest",νεότερος,Comparisons
more famous,διασημότερος,Comparisons
shorter,κοντότερος,Comparisons
taller,ψηλότερος,Comparisons
"most, more, the most",πιο,Comparisons
"younger, smaller, minor",μικρότερος,Comparisons
"worst, worse",χειρότερος,Comparisons
"faster, quicker",γρηγορότερος,Comparisons
prettier,ωραιότερος,Comparisons
"better, best",καλύτερος,Comparisons
"cursor, runner",δρομέας,Computers
speaker,ηχείο,Computers
typing,πληκτρολογώ,Computers
microphone,μικρόφωνο,Computers
browser,φυλλομετρητής,Computers
"installation, installing",εγκατάσταση,Computers
"delete, deletion",διαγραφή,Computers
"login, connection, connected",σύνδεση,Computers
"logout, disconnection, log out / logout",αποσύνδεση,Computers
"deactivation, switch off",απενεργοποίηση,Computers
attach,συνδέω,Computers
"application, app",εφαρμογή,Computers
"button, buttons",κουμπί,Computers
"download, (I) am downloading, downloading",κατεβάζω,Computers
web,ιστός,Computers
upload,ανεβάζω,Computers
"cord, cable",καλώδιο,Computers
"door, port",θύρα,Computers
"site, website",ιστοσελίδα,Computers
keyboard,πληκτρολόγιο,Computers
"I would feel, I'd feel",θα ένιωθα,Conditional tense
"I would swear, I'd swear",θα ορκιζόμουν,Conditional tense
"I would become, I'd become",θα γινόμουν,Conditional tense
"I would consider, I would think, I'd consider",θα σκεφτόμουν,Conditional tense
"I would tell, I'd tell, I'd say",θα έλεγα,Conditional tense
"I would finish, I'd finish",θα τελείωνα,Conditional tense
"I would forget, I'd forget",θα ξεχνούσα,Conditional tense
"I would try, I'd try",θα προσπαθούσα,Conditional tense
I'd ask,θα ρωτούσα,Conditional tense
