Text,Translation,Tag
"I would do, I'd",θα έκανα,Conditional tense
"I would be, I'd be",θα ήμουν,Conditional tense
"I would give, I'd give",θα έδινα,Conditional tense
Africa,αφρική,Countries
Asian,ασιατικός,Countries
African,αφρικανικός,Countries
Australian,αυστραλός,Countries
"USA, u.s.",ηπα,Countries
Oceania,ωκεανία,Countries
european,ευρωπαίος,Countries
european,ευρωπαϊκός,Countries
continent,ήπειρος,Countries
"American, American man",αμερικανός,Countries
Egyptian,αιγύπτιος,Countries
Russia,ρωσία,Countries
China,κίνα,Countries
Egypt,αίγυπτος,Countries
chinese,κινέζικος,Countries
Turkey,τουρκία,Countries
"italian, an Italian",ιταλός,Countries
Germany,γερμανία,Countries
"(male) Turk, Turkish (man), Turkish",τούρκος,Countries
german,γερμανικός,Countries
"German, German man",γερμανός,Countries
Spain,ισπανία,Countries
Spanish,ισπανός,Countries
France,γαλλία,Countries
England,αγγλία,Countries
french,γαλλικός,Countries
French,γάλλος,Countries
"English, Englishman",άγγλος,Countries
Italy,ιταλία,Countries
Asia,ασία,Countries
Greece,ελλάδα,Countries
Athens,αθήνα,Countries
Europe,ευρώπη,Countries
America,αμερική,Countries
Australia,αυστραλία,Countries
wide,φαρδύς,Dimensions
dimension,διάσταση,Dimensions
light,ελαφρύς,Dimensions
heavy,βαρύς,Dimensions
liter,λίτρο,Dimensions
"volume, bulk",όγκος,Dimensions
long,μακρύς,Dimensions
triple,τριπλός,Dimensions
"weigh, weighing",ζυγίζω,Dimensions
"weighs, weight, burden",βάρος,Dimensions
"kilogram, kilo",κιλό,Dimensions
gram,γραμμάριο,Dimensions
"I am counting/count, count, measure",μετράω,Dimensions
"tonne, ton, tuna",τόνος,Dimensions
double,διπλός,Dimensions
"measure, meter, metre",μέτρο,Dimensions
width,πλάτος,Dimensions
mile,μίλι,Dimensions
kilometer / kilometre,χιλιόμετρο,Dimensions
length,μήκος,Dimensions
"centimeter, centimetre, 100th",εκατοστό,Dimensions
height,ύψος,Dimensions
"per, a",ανά,Dimensions
"couple, a couple, a couple of",ζευγάρι,Dimensions
"average, middle",μέσος,Dimensions
enough,αρκετός,Dimensions
"huge, enormous, massive",τεράστιος,Dimensions
"majority, the majority, In the majority",πλειοψηφία,Dimensions
little,λίγος,Dimensions
"more, more like",περισσότερο,Dimensions
half (a/an),μισό,Dimensions
"sum, amount",ποσό,Dimensions
"less, least",λιγότερο,Dimensions
"great, much, a lot",πολύς,Dimensions
"a lot of, heavily, much",πολλή,Dimensions
"recycling, recycle",ανακύκλωση,Environment
nuclear,πυρηνικός,Environment
"disaster, destruction, catastrophe",καταστροφή,Environment
"waste, wastes, outcasts",απόβλητα,Environment
pollution,ρύπανση,Environment
"powder, dust",σκόνη,Environment
plant,φυτό,Environment
universe,σύμπαν,Environment
sand,άμμος,Environment
"result, fruit, wrist",καρπός,Environment
galaxy,γαλαξίας,Environment
"scenery, landscape, the scenery",τοπίο,Environment
"environment, surroundings",περιβάλλον,Environment
"ground, soil, terrain",έδαφος,Environment
smoke,καπνός,Environment
flood,πλημμύρα,Environment
"cultivation, farming, crop",καλλιέργεια,Environment
rose,τριαντάφυλλο,Environment
Rock,βράχος,Environment
earthquake,σεισμός,Environment
"stone, rock",πέτρα,Environment
"world, planet",πλανήτης,Environment
"sheet, leaf",φύλλο,Environment
"forest, woods",δάσος,Environment
"mountain, mount",βουνό,Environment
nature,φύση,Environment
"lake, a lake, pond",λίμνη,Environment
"field, plain, meadow",κάμπος,Environment
"earth, land, ground",γη,Environment
"river, a river",ποτάμι,Environment
"sea, the sea",θάλασσα,Environment
rain,βροχή,Environment
"world, universe, people",κόσμος,Environment
fire,φωτιά,Environment
field,χωράφι,Environment
grass,γρασίδι,Environment
star,αστέρι,Environment
volcano,ηφαίστειο,Environment
"tree, a tree",δέντρο,Environment
"flower, bloom, blossom",λουλούδι,Environment
"natural, physicist",φυσικός,Environment
moon,φεγγάρι,Environment
sky,ουρανός,Environment
ocean,ωκεανός,Environment
cloud,σύννεφο,Environment
"grandparents, grandfathers",παππούδες,Family
friends,φίλοι,Family
"grandpa, grandfather, grandparent",παππούς,Family
"relative, cognate",συγγενής,Family
"grandmother, grandma",γιαγιά,Family
"grandchild, grandson",εγγονός,Family
godfather,νονός,Family
"dad, daddy",μπαμπάς,Family
godmother,νονά,Family
cousin,ξάδερφος,Family
"marriage, wedding",γάμος,Family
"family, a family",οικογένεια,Family
"brother and sister, siblings, brothers",αδέλφια,Family
"woman, husband, wife",σύζυγος,Family
uncle,θείος,Family
aunt,θεία,Family
"father, a father, dad",πατέρας,Family
"daughter, a daughter",κόρη,Family
"sister, a sister",αδελφή,Family
son,γιος,Family
brother,αδελφός,Family
"baby, infant",μωρό,Family
parent,γονιός,Family
mother,μητέρα,Family
"children, youngsters, kids",παιδιά,Family
"I get dizzy, I am dizzy",ζαλίζομαι,Feelings
"nostalgia, nostalgic",νοσταλγία,Feelings
cool-headed,ψύχραιμος,Feelings
"(I) am afraid (of), fear, I am scared of",φοβάμαι,Feelings
"life, a life, their life without",ζωή,Feelings
proud,περήφανος,Feelings
"agree, I agree, agreed",συμφωνώ,Feelings
"do you mind, you mind",πειράζει,Feelings
"peaceful, calmed",ήρεμος,Feelings
"positive, certain, sure",σίγουρος,Feelings
"I regret, regret",μετανιώνω,Feelings
I cry,κλαίω,Feelings
"hate, I hate, I",μισώ,Feelings
"remorse, guilt",τύψεις,Feelings
"hatred, hate, enmity",μίσος,Feelings
"disappointment, frustration",απογοήτευση,Feelings
"fury, rage, temper",οργή,Feelings
I am looking forward,ανυπομονώ,Feelings
"shame, shame on, embarrassment",ντροπή,Feelings
"I am jealous of, I envy, envy",ζηλεύω,Feelings
insecure,ανασφαλής,Feelings
dislike,αντιπαθώ,Feelings
stress,άγχος,Feelings
"miss, I am away",λείπω,Feelings
"stressed, anxious, nervous",αγχωμένος,Feelings
"like (for people), like",συμπαθώ,Feelings
"sadness, sorrow",λύπη,Feelings
"I laugh, I am laughing",γελάω,Feelings
"joy, happiness",χαρά,Feelings
"afraid, scared",φοβισμένος,Feelings
"sad, sorrowful",θλιμμένος,Feelings
guilt,ενοχή,Feelings
"I am glad, I am happy, I'm glad",χαίρομαι,Feelings
"joyful, happy, cheerful",χαρούμενος,Feelings
"I am sorry, I'm sorry, sorry",λυπάμαι,Feelings
in love,ερωτευμένος,Feelings
I get angry,θυμώνω,Feelings
"(I) feel, (I am/I'm) feeling, feel",αισθάνομαι,Feelings
anger,θυμός,Feelings
"Eros (name), love (romantic and erotic, love",έρωτας,Feelings
"love, dear",αγάπη,Feelings
"I love, I adore",λατρεύω,Feelings
"feeling, sentiment, sense",συναίσθημα,Feelings
I fall in love,ερωτεύομαι,Feelings
apple,μήλου,Food
"breakfast, the breakfast plate, the breakfast dish",πρωινού,Food
water,νερού,Food
meal,γεύματος,Food
"formula, recipe, prescription",συνταγή,Food
"juice, of juice",χυμό,Food
eggs,αυγά,Food
"cookies, biscuits",μπισκότα,Food
"plates, dishes, the plates",πιάτα,Food
ice,πάγος,Food
potatoes,πατάτες,Food
"meatball, a meatball",κεφτές,Food
peach,ροδάκινο,Food
(a) vegetable,λαχανικό,Food
"steak, chop",μπριζόλα,Food
"chocolate, chocolate milk",σοκολάτα,Food
dessert,επιδόρπιο,Food
"pita, pita bread, pie",πίτα,Food
"sausage, hot dog, wiener",λουκάνικο,Food
pear,αχλάδι,Food
pepper,πιπέρι,Food
ice cream,παγωτό,Food
potato,πατάτα,Food
watermelon,καρπούζι,Food
beef,βοδινό,Food
"a melon, (a) melon",πεπόνι,Food
"vegetarian, a vegetarian",χορτοφάγος,Food
olive oil,ελαιόλαδο,Food
pork,χοιρινό,Food
fresh,φρέσκο,Food
cherry,κεράσι,Food
"meal, dinner, lunch",γεύμα,Food
meat,κρέας,Food
"tea, of tea",τσάι,Food
cucumber,αγγούρι,Food
"salad, any salad, a salad",σαλάτα,Food
"supper, dinner",δείπνο,Food
food,φαγητό,Food
salt,αλάτι,Food
onion,κρεμμύδι,Food
"pasta, macaroni, noodle",ζυμαρικά,Food
tomato,ντομάτα,Food
juice,χυμός,Food
"cheese, (some) cheese",τυρί,Food
strawberry,φράουλα,Food
beer,μπίρα,Food
fruit,φρούτο,Food
"sugar, (of) sugar",ζάχαρη,Food
breakfast,πρωινό,Food
"tasty, delicious",νόστιμος,Food
lunch,μεσημεριανό,Food
garlic,σκόρδο,Food
"pizza, of pizza",πίτσα,Food
"wine, of wine",κρασί,Food
"plate, dish",πιάτο,Food
"glass, cup, a glass of",ποτήρι,Food
egg,αυγό,Food
chicken,κοτόπουλο,Food
"orange (fruit), an orange, oranges",πορτοκάλι,Food
menu,μενού,Food
milk,γάλα,Food
I'll have thought about,θα έχω σκεφτεί,Future Perfect
I will have made,θα έχω φτιάξει,Future Perfect
I will have fallen asleep,θα έχω κοιμηθεί,Future Perfect
I will have grown old,θα έχω γεράσει,Future Perfect
I will have gotten up,θα έχω σηκωθεί,Future Perfect
"I will have studied, I will have read",θα έχω διαβάσει,Future Perfect
I will have left,θα έχω φύγει,Future Perfect
I will have finished,θα έχω τελειώσει,Future Perfect
"I will have bought, I will have purchased",θα έχω αγοράσει,Future Perfect
I will have made,θα έχω κάνει,Future Perfect
I will have brought,θα έχω φέρει,Future Perfect
"running, current",τρέχων,Gerund
"(by/while) being, being",όντας,Gerund
"trying, attempting",προσπαθώντας,Gerund
"looking at, watching, seeing",βλέποντας,Gerund
feeling,νιώθοντας,Gerund
"(while/by) searching, searching",ψάχνοντας,Gerund
"leaving, while leaving, when leaving",φεύγοντας,Gerund
having,έχοντας,Gerund
living,ζώντας,Gerund
"requesting, asking, by asking",ρωτώντας,Gerund
"speaking, talking",μιλώντας,Gerund
"walking, by walking",περπατώντας,Gerund
hoping,ελπίζοντας,Gerund
going,πηγαίνοντας,Gerund
thinking,νομίζοντας,Gerund
"believing, thinking",πιστεύοντας,Gerund
singing,τραγουδώντας,Gerund
"whether you want to, wanting, whether one wants to",θέλοντας,Gerund
"playing, while playing, by playing",παίζοντας,Gerund
"saying, telling",λέγοντας,Gerund
running,τρέχοντας,Gerund
"while doing, by doing, doing",κάνοντας,Gerund
"looking at, staring at, gazing at",κοιτάζοντας,Gerund
"somewhere, someplace",κάπου,Give directions
"away, long, far",μακριά,Give directions
south,νότος,Give directions
"west, sunset",δύση,Give directions
north,βορράς,Give directions
"south, southern",νότιος,Give directions
"east, Orient, sunrise",ανατολή,Give directions
"path, track, trail",μονοπάτι,Give directions
next,διπλανός,Give directions
"on the other side, opposite, across",απέναντι,Give directions
"eastwards, east, eastward",ανατολικά,Give directions
"in front, front, to the front",μπροστά,Give directions
"west, westwards",δυτικά,Give directions
"left, the left",αριστερά,Give directions
"right, on the right, to the right",δεξιά,Give directions
"south, southern, southwards",νότια,Give directions
"north, northwards, northern",βόρεια,Give directions
compass,πυξίδα,Give directions
"directions, instructions, guidelines",οδηγίες,Give directions
"straight, straight line, straight on",ευθεία,Give directions
"turn, I turn",στρίβω,Give directions
"I am heading, head, heading",κατευθύνομαι,Give directions
navigation,πλοήγηση,Give directions
"direction, way",κατεύθυνση,Give directions
distance,απόσταση,Give directions
destination,προορισμός,Give directions
nowhere,πουθενά,Give directions
"around, surrounding",γύρω,Give directions
there,εκεί,Give directions
here,εδώ,Give directions
"from, of, since",από,Give directions
oil,λάδι,Greece-related
marble,μάρμαρο,Greece-related
"syrtaki, the syrtaki",συρτάκι,Greece-related
"olive, Olive tree",ελιά,Greece-related
"feta cheese, feta, slice",φέτα,Greece-related
navy,στόλος,Greece-related
sunshine,λιακάδα,Greece-related
"cooking, cookery",μαγειρική,Greece-related
dolphin,δελφίνι,Greece-related
owl,κουκουβάγια,Greece-related
"revelry, feast, party",γλέντι,Greece-related
"greek, Greek, Greek man",έλληνας,Greece-related
Greek,ελληνικός,Greece-related
ancient,αρχαίος,Greece-related
shepherd,ποιμενικός,Greece-related
fair,πανηγύρι,Greece-related
"Greek, Greek woman",ελληνίδα,Greece-related
Acropolis,ακρόπολη,Greece-related
Parthenon,παρθενώνας,Greece-related
"Thessaloniki, to Thessaloniki., Salonica",θεσσαλονίκη,Greece-related
Sparta,σπάρτη,Greece-related
spoon sweets,γλυκό του κουταλιού,Greece-related
Crete,κρήτη,Greece-related
warrior,πολεμιστής,Greek Mythology
"vicious, malicious, evil",μοχθηρός,Greek Mythology
dragon,δράκος,Greek Mythology
"wand, a wand",ραβδί,Greek Mythology
hero (m),ήρωας,Greek Mythology
"goodhearted, good hearted",καλόκαρδος,Greek Mythology
dwarf,νάνος,Greek Mythology
Get well (soon)!,περαστικά,Health
nurse,νοσοκόμος,Health
I'm cold,κρυώνω,Health
heart,καρδιά,Health
"virus, a virus",ίωση,Health
elbow,αγκώνας,Health
"rash, a rash",εξάνθημα,Health
"average, middle, back",μέση,Health
"care, treatment",φροντίδα,Health
hair,τρίχα,Health
bone,κόκκαλο,Health
"neck, throat",λαιμός,Health
"itching, itch",φαγούρα,Health
dentist,οδοντίατρος,Health
(a) surgeon,χειρουργός,Health
patient,ασθενής,Health
headache,πονοκέφαλος,Health
"pain, ache",πόνος,Health
"operation, an operation, surgery",εγχείρηση,Health
fever,πυρετός,Health
"clinic, clinical",κλινική,Health
"operating room, operating theatre, surgery",χειρουργείο,Health
"back, backs",πλάτη,Health
finger,δάχτυλο,Health
tooth,δόντι,Health
skin,δέρμα,Health
pill,χάπι,Health
brain,εγκέφαλος,Health
shoulder,ώμος,Health
"chest, breast",στήθος,Health
diet,δίαιτα,Health
"eyesight, vision, sight",όραση,Health
hospital,νοσοκομείο,Health
"ambulance, an ambulance",ασθενοφόρο,Health
virus,ιός,Health
"medicine, drug",φάρμακο,Health
"a disease, illness, what disease do I have",ασθένεια,Health
"sick, ill, ailing",άρρωστος,Health
"body, figure, form",σώμα,Health
"treatment, cure, therapy",θεραπεία,Health
head,κεφάλι,Health
health,υγεία,Health
"an emergency, need, emergency",ανάγκη,Health
"help, assistance",βοήθεια,Health
blood,αίμα,Health
ancestor,πρόγονος,History
virtue,αρετή,History
"protector, guardian",προστάτης,History
"prejudice, preconception, bias",προκατάληψη,History
dead,νεκρός,History
"psychology, players'",ψυχολογία,History
"soul, psyche",ψυχή,History
"holy, sacred",ιερός,History
cross,σταυρός,History
"god, a god",θεός,History
"resistance, opposition",αντίσταση,History
knight,ιππότης,History
"global, world wide",παγκόσμιος,History
"gun, a weapon, weapon",όπλο,History
"win, defeating, victory",νίκη,History
battle,μάχη,History
"defeat, loss",ήττα,History
bomb,βόμβα,History
general,στρατηγός,History
monument,μνημείο,History
"a ruin, wreck",ερείπιο,History
"transition, change",μετάβαση,History
"renaissance, rebirth",αναγέννηση,History
"past, background",παρελθόν,History
empire,αυτοκρατορία,History
emperor,αυτοκράτορας,History
antiquity,αρχαιότητα,History
classical,κλασικός,History
"archaeologist (masc/fem), an archeologist",αρχαιολόγος,History
dinosaur,δεινόσαυρος,History
"relic (neuter), an heirloom",κειμήλιο,History
"fortress, stronghold, fort",φρούριο,History
pirate (masc.),πειρατής,History
abandoned,εγκαταλελειμμένος,History
"costs, expenses, fees",έξοδα,History
"cutlery, silverware, flatware",μαχαιροπίρουνα,Household
"central heating, heater, a radiator",καλοριφέρ,Household
"desk, office",γραφείο,Household
"carpet, rug",χαλί,Household
"armchair, lounge chair",πολυθρόνα,Household
"hallway, corridor, treadmill",διάδρομος,Household
"sofa, couch",καναπές,Household
"living room, sitting room, lounge",σαλόνι,Household
"drape, curtain, curtains",κουρτίνα,Household
"closet, wardrobe",ντουλάπα,Household
"dining room, refectory, dining",τραπεζαρία,Household
bedroom,υπνοδωμάτιο,Household
light,φως,Household
"light fixture, lamp, light",φωτιστικό,Household
"bookcase, library, bookshelf",βιβλιοθήκη,Household
"bed, a bed",κρεβάτι,Household
"shower, a shower",ντουζ,Household
"toilet, WC, bathroom",τουαλέτα,Household
"shelf, self",ράφι,Household
"bathtub, the bathtub., a bathtub",μπανιέρα,Household
"washbasin, sinks",νιπτήρας,Household
mirror,καθρέφτης,Household
"bathroom, lavatory, washroom",μπάνιο,Household
"basement, cellar, a basement",υπόγειο,Household
"attic, loft, the attic",σοφίτα,Household
"pool, swimming pool, a swimming pool",πισίνα,Household
"backyard, yard, court",αυλή,Household
garden,κήπος,Household
"stairway, stairs, staircase",σκάλα,Household
"pantry, storage room, a storeroom",αποθήκη,Household
"balcony, a balcony",μπαλκόνι,Household
drawer,συρτάρι,Household
sink,νεροχύτης,Household
"table, dinner party",τραπέζι,Household
"cupboard, locker",ντουλάπι,Household
"fridge, refrigerator, cooler",ψυγείο,Household
"faucet, tap",βρύση,Household
"oven, furnace, bakery",φούρνος,Household
"stove, cuisine, kitchen",κουζίνα,Household
"room, a room",δωμάτιο,Household
roof,σκεπή,Household
"floor, ground",πάτωμα,Household
wall,τοίχος,Household
"house, home",σπίτι,Household
window,παράθυρο,Household
"ceiling, roof, the ceiling",ταβάνι,Household
"door, the door",πόρτα,Household
"furniture, piece of furniture",έπιπλο,Household
"get dressed!, dress",ντύσου,Imperative
get up!,σήκω,Imperative
"consider, think, think (of/about)",σκέψου,Imperative
"promise!, promise",υποσχέσου,Imperative
"accept!, accept",δέξου,Imperative
rest! (imp),ξεκουράσου,Imperative
remember! (imp),θυμήσου,Imperative
"go to sleep, sleep",κοιμήσου,Imperative
Sit,κάτσε,Imperative
trust,εμπιστεύσου,Imperative
imagine (2nd sing.),φαντάσου,Imperative
"vet, veterinarian, a vet",κτηνίατρος,Jobs
"driver, guidebook",οδηγός,Jobs
Daphne (name),δάφνη,Jobs
"plumber, a plumber",υδραυλικός,Jobs
"cleaner, a cleaner",καθαριστής,Jobs
"electrician, an electrician",ηλεκτρολόγος,Jobs
"policeman, a policeman, officer",αστυνομικός,Jobs
"construction worker, builder",οικοδόμος,Jobs
"firefighter, a firefighter",πυροσβέστης,Jobs
"waiter, server, a waiter",σερβιτόρος,Jobs
"cook, chef",μάγειρας,Jobs
"job, profession, occupation",επάγγελμα,Jobs
"waitress, server, a waitress",σερβιτόρα,Jobs
"boss, supervisor, master",αφεντικό,Jobs
"farmer, a farmer, ploughman",αγρότης,Jobs
"a mechanic, mechanic, engineer",μηχανικός,Jobs
a judge,δικαστής,Jobs
"guard, a guard, keeper",φύλακας,Jobs
"captain, skipper, a captain",καπετάνιος,Jobs
"editor, writer, author",συντάκτης,Jobs
"an actor, an actress, actress",ηθοποιός,Jobs
"supervisor, manager, boss",προϊστάμενος,Jobs
"an  officer, a senior officer, officer",αξιωματικός,Jobs
"serviceman, a soldier, soldier",στρατιώτης,Jobs
"entertainer, an artist, artist",καλλιτέχνης,Jobs
"principal, manager, head",διευθυντής,Jobs
"lawyer, attorney, barrister",δικηγόρος,Jobs
"police, police force, police department",αστυνομία,Jobs
"career, a career",καριέρα,Jobs
"professional, a professional",επαγγελματίας,Jobs
"worker, labourer, laborer",εργάτης,Jobs
"secretary, a secretary",γραμματέας,Jobs
"as, to, as a",ως,Jobs
"priest, clergyman, parson",παπάς,Jobs
"doctor, medic, physician",γιατρός,Jobs
"work, job, assignment",εργασία,Jobs
"learner, pupil, student",μαθητής,Jobs
"work, job, a job",δουλειά,Jobs
"writer, author",συγγραφέας,Jobs
"model, a model",μοντέλο,Jobs
"personal, staff, personnel",προσωπικό,Jobs
a plastic (m) (nom.),πλαστικός,Materials
metallic,μεταλλικός,Materials
"fluid, humid, liquid",υγρό,Materials
"stone (adj.), stone",πέτρινος,Materials
ceramics,κεραμικά,Materials
crystal,κρύσταλλος,Materials
"a gas, gas, gaseous",αέριο,Materials
molecule,μόριο,Materials
iron,σίδηρος,Materials
gold,χρυσός,Materials
"copper, cuprum",χαλκός,Materials
silver,ασήμι,Materials
diamond,διαμάντι,Materials
"solid, a solid",στερεό,Materials
"glass, a glass",γυαλί,Materials
wood,ξύλο,Materials
"aluminum/aluminium, aluminium, aluminum",αλουμίνιο,Materials
metal,μέταλλο,Materials
"cement, concrete",τσιμέντο,Materials
"plastic, made of plastic",πλαστικό,Materials
material,υλικό,Materials
pyramid,πυραμίδα,Maths
"total, sum",σύνολο,Maths
sum,άθροισμα,Maths
"radius, ray, spoke",ακτίνα,Maths
"fate, degree",μοίρα,Maths
"cube, block",κύβος,Maths
polygon,πολύγωνο,Maths
"square, quadrate, tetragon",τετράγωνο,Maths
"rectangle, rectangular",ορθογώνιο,Maths
"cycle, circle",κύκλος,Maths
triangle,τρίγωνο,Maths
"shape, figure",σχήμα,Maths
square root,τετραγωνική ρίζα,Maths
equation,εξίσωση,Maths
fraction,κλάσμα,Maths
digit,ψηφίο,Maths
"math teacher, mathematician",μαθηματικός,Maths
divided by,διά,Maths
multiplied by,επί,Maths
division,διαίρεση,Maths
"multiplication, proliferation",πολλαπλασιασμός,Maths
plus,συν,Maths
minus,μείον,Maths
"equals, equal",ίσον,Maths
"acts, act, operation",πράξη,Maths
"subtraction, deduction, abstraction",αφαίρεση,Maths
"algebra, Algebra",άλγεβρα,Maths
"maths, mathematics, math",μαθηματικά,Maths
addition,πρόσθεση,Maths
geometry,γεωμετρία,Maths
"percent, per cent",τοις εκατό,Maths
lower,μειώνω,Maths
"group of friends, company, party",παρέα,Meeting people
"bachelor, single",εργένης,Meeting people
"victim, a victim",θύμα,Meeting people
Odysseus,οδυσσέας,Meeting people
"human being, man, person",άνθρωπος,Meeting people
"public, viewers, crowd",κοινό,Meeting people
professor,καθηγητά,Meeting people
"principal, director",διευθυντά,Meeting people
"bod, gal",τύπισσα,Meeting people
"guy, press, man",τύπος,Meeting people
"old, senior",ηλικιωμένος,Meeting people
"young, young man",νεαρός,Meeting people
"commander, governor",διοικητής,Meeting people
"main, sir, gentleman",κύριος,Meeting people
"citizen, civilian",πολίτης,Meeting people
"people (ethnic group), people",λαός,Meeting people
random,τυχαίος,Meeting people
"best friend, buddy",κολλητός,Meeting people
"a relationship, link, relationship",σχέση,Meeting people
"madam, lady, mrs.",κυρία,Meeting people
kiss,φιλί,Meeting people
"conference, congress, convention",συνέδριο,Meeting people
population,πληθυσμός,Meeting people
"foundation, institution, institute",ίδρυμα,Meeting people
culture,κουλτούρα,Meeting people
"committee, jury",επιτροπή,Meeting people
"youth, young (people)",νεολαία,Meeting people
neighbor,γείτονας,Meeting people
"individual, person, atom",άτομο,Meeting people
"girl, young woman, young lady",κοπέλα,Meeting people
friend,φίλος,Meeting people
"girlfriend, friend",φίλη,Meeting people
I kiss,φιλάω,Meeting people
"enemy, foe",εχθρός,Meeting people
"present, in attendance",παρών,Meeting people
"being, entity, creature",ον,Meeting people
"interesting, an interesting",ενδιαφέρων,Meeting people
"appropriate, proper",πρέπον,Meeting people
"saving money, thrift, saving",αποταμίευση,Money
"increase, rise",αυξάνω,Money
discount,έκπτωση,Money
"value, importance, a value",αξία,Money
payments,πληρωμές,Money
euros,ευρώ,Money
"a loan, a mortgage",δάνειο,Money
"profit, benefit, a profit",κέρδος,Money
dollar,δολάριο,Money
"price, value, honour",τιμή,Money
tax,φόρος,Money
inflation,πληθωρισμός,Money
money,χρήμα,Money
cheap,οικονομικός,Money
"credit card, a credit card",πιστωτική κάρτα,Money
"coin, currency",νόμισμα,Money
"cost, price, rate",κόστος,Money
economy,οικονομία,Money
"check, draft, cheque",επιταγή,Money
block,μπλοκ,Money
many times,πολλάκις,Numbers
"twice, two times",δις,Numbers
"last, final",τελευταίος,Numbers
"third, 3rd",τρίτος,Numbers
second,δεύτερος,Numbers
"fourth, 4th",τέταρτος,Numbers
"first, 1st",πρώτος,Numbers
"(he/she/it) wears, is wearing, time",φορά,Numbers
